职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
市场投放经理（新业务方向）,北京陌陌科技有限公司,北京-朝阳区,北京,09-08,1.5-2.5万/月,15000.0,25000.0,学历要求：本科,本科
伊利2021年校招-IT培训生（总部）,内蒙古伊利实业集团股份有限公司,异地招聘,,09-08,1-1.5万/月,10000.0,15000.0,学历要求：硕士,硕士
游戏视频后期制作（二次元项目）,完美世界（北京）总部/完美时空,北京,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：大专,大专
组织行为学 学术研究助理,完美世界（北京）总部/完美时空,北京-朝阳区,北京,09-08,0.9-1.3万/月,9000.0,13000.0,学历要求：硕士,硕士
工程专员,内蒙古鄂尔多斯服装有限公司,北京-西城区,北京,09-08,6-9千/月,6000.0,9000.0,学历要求：本科,本科
旗舰店店长,北京每日优鲜电子商务有限公司,异地招聘,,09-08,0.8-1.8万/月,8000.0,18000.0,学历要求：大专,大专
高级U3D开发工程师--3560,爱奇艺（www.iqiyi.com）,北京-朝阳区,北京,09-08,3-4万/月,30000.0,40000.0,学历要求：本科,本科
化学研发工程师(J13355),北京北大方正电子有限公司,北京-海淀区,北京,09-08,0.7-1.3万/月,7000.0,13000.0,学历要求：本科,本科
电话销售,浦发银行北京分行信用卡部,北京-西城区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：,
斯凯奇零售管理培训生,广州市凯捷商业有限公司北京分公司,北京-朝阳区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：本科,本科
电商销售高级专员(J15600),内蒙古蒙牛乳业（集团）股份有限公司低温事业部,北京-通州区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：本科,本科
运动营销专业经理-北京-05192,李宁（中国）体育用品有限公司,北京,北京,09-08,1.2-1.8万/月,12000.0,18000.0,学历要求：本科,本科
资本运营主管,九芝堂股份有限公司,北京-朝阳区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：硕士,硕士
Android高级开发工程师,北京同仁堂健康药业股份有限公司,北京-大兴区,北京,09-08,2-2.5万/月,20000.0,25000.0,学历要求：本科,本科
Engineered Solutions China Manager,德尔格中国,北京,北京,09-08,2-3.5万/月,20000.0,35000.0,学历要求：本科,本科
财务总监（储备干部）,圆通速递有限公司,北京,北京,09-08,1.2-2万/月,12000.0,20000.0,学历要求：本科,本科
国内机票商务经理,同程艺龙,异地招聘,,09-08,1.5-2万/月,15000.0,20000.0,学历要求：大专,大专
资深物流销售（底薪5-8k + 高提成 + 股权期权）,上海天地汇供应链管理有限公司,异地招聘,,09-08,0.7-1.5万/月,7000.0,15000.0,学历要求：中专,中专
分析和考核岗0756,中国民航信息网络股份有限公司,北京-顺义区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
Shift Manager Logistics,采埃孚汽车底盘系统（北京）有限公司,北京-大兴区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
区域销售专员(IT分销）,英迈（中国）投资有限公司,北京-海淀区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：大专,大专
lq 教育咨询师/超高提成/已上市,尚德机构,北京-朝阳区,北京,09-08,2-2.5万/月,20000.0,25000.0,学历要求：大专,大专
数据库工程师,上海文思海辉金信软件有限公司,异地招聘,,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
大客户销售,瑞庭网络技术（上海）有限公司北京分公司,北京-海淀区,北京,09-08,1-2万/月,10000.0,20000.0,学历要求：大专,大专
北京KA门店业务,郑州思念食品有限公司,北京-海淀区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
呼叫中心坐席-北京-07831,神州数码供应链,北京-顺义区,北京,09-08,4-7千/月,4000.0,7000.0,学历要求：大专,大专
生产操作工,利乐（中国）,北京,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：大专,大专
融资副总裁,旭阳集团,北京-丰台区,北京,09-08,5-7万/月,50000.0,70000.0,学历要求：本科,本科
财务助理,呷哺呷哺餐饮管理有限公司,北京-大兴区,北京,09-08,4-6千/月,4000.0,6000.0,学历要求：本科,本科
Java开发工程师,信永中和会计师事务所,北京-东城区,北京,09-08,,,,学历要求：本科,本科
财务管理咨询顾问,北京信永方略管理咨询有限责任公司,北京-东城区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：本科,本科
行政前台,信永中和北京总部,北京-东城区,北京,09-08,,,,学历要求：大专,大专
BIM咨询顾问,信永中和（北京）国际工程管理咨询有限公司,北京-东城区,北京,09-08,,,,学历要求：本科,本科
税务咨询项目经理（国际业务）,信永中和税务师事务所,北京-东城区,北京,09-08,,,,学历要求：本科,本科
工程财务审计助理,信永中和工程管理有限公司,北京-东城区,北京,09-08,,,,学历要求：本科,本科
零售理财部-客户顾问岗,国金证券股份有限公司,北京-西城区,北京,09-08,0.8-1.2万/月,8000.0,12000.0,学历要求：本科,本科
Regulatory Affairs Manager,礼来（上海）管理有限公司,北京,北京,09-08,,,,学历要求：,
五金渠道经理,欧普照明股份有限公司,北京-朝阳区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
数字运营经理(Digital BP),费森尤斯卡比（中国）投资有限公司,北京,北京,09-08,2.5-3万/月,25000.0,30000.0,学历要求：本科,本科
java开发工程师(016098),神州数码（中国）有限公司,北京,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
全球销售培训生,阳光电源股份有限公司,异地招聘,,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
医学***,神州数码医疗科技股份有限公司,北京-海淀区,北京,09-08,150元/天,4500.0,4500.0,学历要求：本科,本科
售前工程师 (MJ002858),神州数码信息服务股份有限公司,异地招聘,,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
公募基金固收投资总监,渤海证券股份有限公司,北京,北京,09-08,4-5万/月,40000.0,50000.0,学历要求：硕士,硕士
市场商务(J17292),瑞庭网络技术（上海）有限公司北京分公司-安居客,北京-朝阳区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
行政前台/专员,上海上鼎文化发展有限公司,北京,北京,09-08,5-7千/月,5000.0,7000.0,学历要求：大专,大专
运营部契约管理岗,长城人寿保险股份有限公司,北京-西城区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
医药代表（北京地区）,亿腾医药（中国）有限公司,北京,北京,09-08,0.4-1万/月,4000.0,10000.0,学历要求：大专,大专
设计经理,呷哺呷哺餐饮管理有限公司总部,北京-大兴区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
菜品研发经理（泰国，新加坡）,湊湊餐饮管理有限公司,北京,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：大专,大专
客户经理-北京（基金大客营销中心）,恒生电子股份有限公司,北京-西城区,北京,09-08,1-2万/月,10000.0,20000.0,学历要求：本科,本科
店铺主管 - 北京八达岭奥莱,博柏利（上海）贸易有限公司(Burberry),北京,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：,
销售主管（血透业务）,威高血液净化制品（上海）有限公司,北京,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
